lat,lon,pop
-55.88,-69.38,34
-55.88,-67.88,1
-55.88,-67.62,2
-55.88,-67.38,17
-55.88,-66.88,3
-55.62,-69.62,2
-55.62,-69.38,8
-55.62,-69.12,9
-55.62,-68.88,4
-55.62,-68.62,16
-55.62,-68.38,9
-55.62,-68.12,4
-55.62,-67.88,20
-55.62,-67.62,1
-55.62,-67.38,1
-55.62,-66.88,15
-55.62,-66.62,11
-55.38,-70.12,42
-55.38,-69.88,64
-55.38,-69.62,224
-55.38,-69.38,50
-55.38,-69.12,34
-55.38,-68.88,24
-55.38,-68.62,21
-55.38,-68.38,4
-55.38,-68.12,9
-55.38,-67.88,1
-55.12,-70.88,8
-55.12,-70.62,11
-55.12,-70.38,20
-55.12,-70.12,16
-55.12,-69.88,12
-55.12,-69.62,24
-55.12,-69.38,89
-55.12,-69.12,7
-55.12,-68.88,3
-55.12,-68.62,25
-55.12,-68.38,1
-55.12,-68.12,3
-55.12,-67.88,4
-55.12,-67.12,5
-55.12,-66.88,3
-54.88,-71.38,12
-54.88,-71.12,2
-54.88,-70.88,124
-54.88,-70.62,27
-54.88,-70.38,59
-54.88,-70.12,38
-54.88,-69.88,88
-54.88,-69.62,8
-54.88,-69.38,15
-54.88,-69.12,9
-54.88,-68.88,37
-54.88,-68.62,23
-54.88,-68.38,76642
-54.88,-68.12,4086
-54.88,-67.88,34
-54.88,-67.62,1520
-54.88,-67.38,14
-54.88,-67.12,1
-54.88,-66.88,3
-54.88,-66.12,23
-54.88,-65.38,1
-54.62,-71.88,10
-54.62,-71.62,6
-54.62,-71.38,9
-54.62,-71.12,10
-54.62,-70.88,195
-54.62,-70.62,15
-54.62,-70.38,9
-54.62,-70.12,7
-54.62,-69.88,14
-54.62,-69.62,28
-54.62,-69.38,90
-54.62,-69.12,65
-54.62,-68.88,144
-54.62,-68.62,40
-54.62,-68.38,28
-54.62,-68.12,91
-54.62,-67.88,98
-54.62,-67.62,53
-54.62,-67.38,30
-54.62,-67.12,3589
-54.62,-66.88,19
-54.62,-64.12,3
-54.38,-72.62,2
-54.38,-72.38,13
-54.38,-71.88,9
-54.38,-71.38,4
-54.38,-71.12,1
-54.38,-70.88,8
-54.38,-70.62,7
-54.38,-70.38,10
-54.38,-70.12,10
-54.38,-69.88,6
-54.38,-69.62,5
-54.38,-69.38,22
-54.38,-69.12,17
-54.38,-68.88,100
-54.38,-68.62,4
-54.38,-68.38,27
-54.38,-67.88,25
-54.38,-67.62,25
-54.38,-67.38,6
-54.38,-67.12,521
-54.38,-66.88,10
-54.38,-66.62,15
-54.38,-66.38,2
-54.12,-73.12,6
-54.12,-72.62,1
-54.12,-72.38,2
-54.12,-72.12,1
-54.12,-71.88,22
-54.12,-69.88,3
-54.12,-69.12,4
-54.12,-68.88,44
-54.12,-68.62,42
-54.12,-68.38,26
-54.12,-68.12,36
-54.12,-67.88,20
-54.12,-67.62,62
-54.12,-67.38,59
-54.12,-67.12,40
-54.12,-66.88,10
-53.88,-73.12,11
-53.88,-72.88,1
-53.88,-72.62,12
-53.88,-72.38,1
-53.88,-71.88,1
-53.88,-70.38,136
-53.88,-70.12,14
-53.88,-69.62,6
-53.88,-69.38,3
-53.88,-69.12,158
-53.88,-68.88,23
-53.88,-68.62,3
-53.88,-68.38,46
-53.88,-68.12,38
-53.88,-67.88,4914
-53.88,-67.62,87439
-53.88,-67.38,8
-53.62,-73.38,3
-53.62,-73.12,6
-53.62,-72.62,1
-53.62,-71.88,1
-53.62,-71.12,1
-53.62,-70.88,79
-53.62,-70.38,24
-53.62,-69.88,9
-53.62,-69.62,97
-53.62,-69.38,5
-53.62,-68.88,15
-53.62,-68.62,49
-53.62,-68.38,45
-53.62,-68.12,43
-53.62,-67.88,613
-53.62,-67.62,372
-53.38,-73.38,3
-53.38,-73.12,4
-53.38,-71.88,1
-53.38,-71.38,2
-53.38,-71.12,60
-53.38,-70.88,328
-53.38,-70.38,5175
-53.38,-70.12,14
-53.38,-69.88,13
-53.38,-69.62,21
-53.38,-69.38,27
-53.38,-69.12,44
-53.38,-68.88,24
-53.38,-68.62,75
-53.38,-68.38,99
-53.38,-68.12,593
-53.12,-74.12,7
-53.12,-73.62,34
-53.12,-73.38,18
-53.12,-73.12,10
-53.12,-71.88,1
-53.12,-71.62,2
-53.12,-71.38,8
-53.12,-71.12,239
-53.12,-70.88,126816
-53.12,-70.38,28
-53.12,-70.12,29
-53.12,-69.62,1
-53.12,-69.38,26
-53.12,-69.12,49
-53.12,-68.88,55
-53.12,-68.62,53
-53.12,-68.38,159
-53.12,-68.12,15
-52.88,-73.38,4
-52.88,-73.12,16
-52.88,-72.88,1
-52.88,-72.62,4
-52.88,-71.88,2
-52.88,-71.62,91
-52.88,-71.38,49
-52.88,-71.12,40
-52.88,-70.88,2447
-52.88,-70.62,4
-52.88,-70.38,9
-52.88,-70.12,16
-52.88,-69.88,16
-52.88,-69.62,8
-52.88,-69.38,248
-52.88,-69.12,2
-52.88,-68.88,32
-52.88,-68.62,4
-52.88,-68.38,449
-52.62,-74.38,1
-52.62,-73.38,2
-52.62,-73.12,12
-52.62,-72.88,6
-52.62,-72.12,4
-52.62,-71.88,23
-52.62,-71.62,63
-52.62,-71.38,77
-52.62,-71.12,23
-52.62,-70.88,61
-52.62,-70.62,35
-52.62,-70.38,16
-52.62,-70.12,132
-52.62,-69.88,9
-52.62,-69.62,21
-52.62,-69.38,39
-52.62,-69.12,18
-52.62,-68.88,53
-52.62,-68.62,368
-52.38,-74.62,1
-52.38,-73.88,4
-52.38,-73.12,3
-52.38,-72.12,1
-52.38,-71.88,1
-52.38,-71.62,32
-52.38,-71.38,310
-52.38,-71.12,24
-52.38,-70.88,2
-52.38,-70.62,5
-52.38,-70.38,10
-52.38,-70.12,4
-52.38,-69.88,38
-52.38,-69.62,158
-52.38,-69.38,2
-52.38,-68.88,37
-52.38,-68.62,38
-52.38,-68.38,98
-52.12,-74.88,17
-52.12,-74.62,13
-52.12,-73.12,2
-52.12,-72.88,2
-52.12,-72.38,13
-52.12,-71.88,84
-52.12,-71.62,12
-52.12,-71.38,81
-52.12,-71.12,9
-52.12,-70.88,2
-52.12,-70.62,1
-52.12,-70.38,10
-52.12,-70.12,3
-52.12,-69.88,5
-52.12,-69.62,19
-52.12,-69.38,20
-52.12,-69.12,96
-52.12,-68.88,94
-52.12,-68.62,4
-52.12,-60.88,4
-52.12,-60.62,1
-52.12,-59.38,9
-51.88,-74.88,18
-51.88,-74.62,12
-51.88,-74.38,1
-51.88,-74.12,11
-51.88,-73.88,1
-51.88,-73.38,1
-51.88,-73.12,1
-51.88,-72.62,3
-51.88,-72.38,35
-51.88,-72.12,27
-51.88,-71.88,5
-51.88,-71.62,108
-51.88,-71.38,17
-51.88,-71.12,15
-51.88,-70.88,10
-51.88,-70.62,14
-51.88,-70.12,6
-51.88,-69.88,2
-51.88,-69.62,9
-51.88,-69.38,34
-51.88,-69.12,19
-51.88,-68.88,11
-51.88,-60.88,1
